Name,Slug,Cena,Skupina / poznámka k ceně,Kategorie (Name),Kategorie (Slug),Pořadí v kategorii,Zvýraznit jako balíček
Dermatologická konzultace (30 min)/estetická konzultace (30 min),korektivni-dermatologie-dermatologicka-konzultace-30-min-est,"2 000,-/1 000,-",,Korektivní dermatologie – konzultace,korektivni-dermatologie,1,Ne
1 oblast,aplikace-botulotoxinu-ko-1-oblast,"3 700,-",Plná dávka,Aplikace botulotoxinu – korekce vrásek v obličeji,aplikace-botulotoxinu-korekce-vrasek,1,Ne
1 oblast,aplikace-botulotoxinu-ko-1-oblast-2,"2 600,-",Baby botulotoxin,Aplikace botulotoxinu – korekce vrásek v obličeji,aplikace-botulotoxinu-korekce-vrasek,2,Ne
2 oblasti,aplikace-botulotoxinu-ko-2-oblasti,"6 000,-",Plná dávka,Aplikace botulotoxinu – korekce vrásek v obličeji,aplikace-botulotoxinu-korekce-vrasek,3,Ne
2 oblasti,aplikace-botulotoxinu-ko-2-oblasti-2,"4 100,-",Baby botulotoxin,Aplikace botulotoxinu – korekce vrásek v obličeji,aplikace-botulotoxinu-korekce-vrasek,4,Ne
3 oblasti,aplikace-botulotoxinu-ko-3-oblasti,"8 000,-",Plná dávka,Aplikace botulotoxinu – korekce vrásek v obličeji,aplikace-botulotoxinu-korekce-vrasek,5,Ne
3 oblasti,aplikace-botulotoxinu-ko-3-oblasti-2,"5 600,-",Baby botulotoxin,Aplikace botulotoxinu – korekce vrásek v obličeji,aplikace-botulotoxinu-korekce-vrasek,6,Ne
Bocouture 2 oblasti,aplikace-botulotoxinu-ko-bocouture-2-oblasti,"7 000,-",,Aplikace botulotoxinu – korekce vrásek v obličeji,aplikace-botulotoxinu-korekce-vrasek,7,Ne
Lip flip,aplikace-botulotoxinu-ko-lip-flip,"1 700,-",,Aplikace botulotoxinu – korekce vrásek v obličeji,aplikace-botulotoxinu-korekce-vrasek,8,Ne
Gummy smile,aplikace-botulotoxinu-ko-gummy-smile,"1 800,-",,Aplikace botulotoxinu – korekce vrásek v obličeji,aplikace-botulotoxinu-korekce-vrasek,9,Ne
DAO (ústní koutky),aplikace-botulotoxinu-ko-dao-ustni-koutky,"3 000,-",,Aplikace botulotoxinu – korekce vrásek v obličeji,aplikace-botulotoxinu-korekce-vrasek,10,Ne
Brada,aplikace-botulotoxinu-ko-brada,"2 000,-",,Aplikace botulotoxinu – korekce vrásek v obličeji,aplikace-botulotoxinu-korekce-vrasek,11,Ne
Masseter,aplikace-botulotoxinu-ko-masseter,"8 000,-",,Aplikace botulotoxinu – korekce vrásek v obličeji,aplikace-botulotoxinu-korekce-vrasek,12,Ne
Platysma (Nefertiti lifting),aplikace-botulotoxinu-ko-platysma-nefertiti-lifting,"7 500,-",,Aplikace botulotoxinu – korekce vrásek v obličeji,aplikace-botulotoxinu-korekce-vrasek,13,Ne
Full face botulotoxin,aplikace-botulotoxinu-ko-full-face-botulotoxin,"14 000,-",,Aplikace botulotoxinu – korekce vrásek v obličeji,aplikace-botulotoxinu-korekce-vrasek,14,Ne
Oblast podpaží,aplikace-botulotoxinu-od-oblast-podpazi,"11 000,-",,Aplikace botulotoxinu – odstranění nadměrného pocení,aplikace-botulotoxinu-odstraneni-nadmerneho-poceni,1,Ne
Dlaně,aplikace-botulotoxinu-od-dlane,"11 000,-",,Aplikace botulotoxinu – odstranění nadměrného pocení,aplikace-botulotoxinu-odstraneni-nadmerneho-poceni,2,Ne
Chodidla,aplikace-botulotoxinu-od-chodidla,"12 000,-",,Aplikace botulotoxinu – odstranění nadměrného pocení,aplikace-botulotoxinu-odstraneni-nadmerneho-poceni,3,Ne
"1 ml / 0,55 ml",aplikace-vyplnovych-mate-1-ml-0-55-ml,"8 000,-",RTY,Výplně kyselinou hyaluronovou – korekce vrásek,aplikace-vyplnovych-materialu-kyselina-hyaluronova,1,Ne
1 ml,aplikace-vyplnovych-mate-1-ml,"8 000,-",Objemová modelace kyseliny hyaluronové,Výplně kyselinou hyaluronovou – korekce vrásek,aplikace-vyplnovych-materialu-kyselina-hyaluronova,2,Ne
2 ml,aplikace-vyplnovych-mate-2-ml,"14 000,-",Objemová modelace kyseliny hyaluronové,Výplně kyselinou hyaluronovou – korekce vrásek,aplikace-vyplnovych-materialu-kyselina-hyaluronova,3,Ne
3 ml,aplikace-vyplnovych-mate-3-ml,"20 000,-",Objemová modelace kyseliny hyaluronové,Výplně kyselinou hyaluronovou – korekce vrásek,aplikace-vyplnovych-materialu-kyselina-hyaluronova,4,Ne
4 ml,aplikace-vyplnovych-mate-4-ml,"25 000,-",Objemová modelace kyseliny hyaluronové,Výplně kyselinou hyaluronovou – korekce vrásek,aplikace-vyplnovych-materialu-kyselina-hyaluronova,5,Ne
1 ml,aplikace-vyplnovych-mate-1-ml-2,"8 000,-",Aplikace pod oči,Výplně kyselinou hyaluronovou – korekce vrásek,aplikace-vyplnovych-materialu-kyselina-hyaluronova,6,Ne
Rozpuštění starých výplní aplikovaných jinde,aplikace-vyplnovych-mate-rozpusteni-starych-vyplni-aplikovan,"4 000,-",,Výplně kyselinou hyaluronovou – korekce vrásek,aplikace-vyplnovych-materialu-kyselina-hyaluronova,7,Ne
Radiesse,vyplne-hydroxyapatit-radiesse,"15 000,-",,Výplně hydroxyapatit,vyplne-hydroxyapatit,1,Ne
"Lenisna (1 lokalita) – obličej, krk, dekolt, ruce",biostimulace-kyselinou-p-lenisna-1-lokalita-oblicej-krk-deko,"16 000,-",,Biostimulace kyselinou polymléčnou,biostimulace-kyselinou-polymlecnou,1,Ne
Juvelook – oční okolí: 1 ošetření,biostimulace-kyselinou-p-juvelook-ocni-okoli-1-osetreni,"5 500,-",,Biostimulace kyselinou polymléčnou,biostimulace-kyselinou-polymlecnou,2,Ne
Juvelook – oční okolí: 2 ošetření,biostimulace-kyselinou-p-juvelook-ocni-okoli-2-osetreni,"10 000,-",,Biostimulace kyselinou polymléčnou,biostimulace-kyselinou-polymlecnou,3,Ne
Juvelook – oční okolí: 3 ošetření,biostimulace-kyselinou-p-juvelook-ocni-okoli-3-osetreni,"13 000,-",,Biostimulace kyselinou polymléčnou,biostimulace-kyselinou-polymlecnou,4,Ne
Profhilo (2 ml),bioremodelace-profhilo-2-ml,"7 500,-",,Bioremodelace,bioremodelace,1,Ne
Výhodný balíček dvou ošetření Profhilo,bioremodelace-vyhodny-balicek-dvou-osetreni-profhilo,"12 000,-",,Bioremodelace,bioremodelace,2,Ano
Structura (2 ml) – pouze do oblasti tváří,bioremodelace-structura-2-ml-pouze-do-oblasti-tvari,"15 000,-",,Bioremodelace,bioremodelace,3,Ne
Výhodný balíček dvou ošetření Structura,bioremodelace-vyhodny-balicek-dvou-osetreni-structura,"27 000,-",,Bioremodelace,bioremodelace,4,Ano
RRS HA Long Lasting (LOLA) 3 ml,bioremodelace-rrs-ha-long-lasting-lola-3-ml,"8 000,-",,Bioremodelace,bioremodelace,5,Ne
"Jalupro Super Hydro (2,5 ml)",biorevitalizace-jalupro-super-hydro-2-5-ml,"7 500,-",,Biorevitalizace,biorevitalizace,1,Ne
Výhodný balíček dvou ošetření Jalupro Super Hydro,biorevitalizace-vyhodny-balicek-dvou-osetreni-jalupro-super-,"12 000,-",,Biorevitalizace,biorevitalizace,2,Ano
Vitaran I (1 ml) – aplikace pod oči,polynukleotidy-vitaran-i-1-ml-aplikace-pod-oci,"4 000,-",,"Polynukleotidy (PDRN terapie, DNA z lososovitých ryb)",polynukleotidy,1,Ne
Vitaran II (2 ml) – ošetření tváří / celého obličeje,polynukleotidy-vitaran-ii-2-ml-osetreni-tvari-celeho-oblicej,"6 000,-",,"Polynukleotidy (PDRN terapie, DNA z lososovitých ryb)",polynukleotidy,2,Ne
"Amella (2,5)",polynukleotidy-amella-2-5,"8 000,-",,"Polynukleotidy (PDRN terapie, DNA z lososovitých ryb)",polynukleotidy,3,Ne
Plenhyage XL (2 ml),polynukleotidy-plenhyage-xl-2-ml,"7 000,-",,"Polynukleotidy (PDRN terapie, DNA z lososovitých ryb)",polynukleotidy,4,Ne
Ameela Exosomy,exosomy-ameela-exosomy,"4 500,-",,Exosomy,exosomy,1,Ne
"Neauvia Organic Hydrodeluxe (2,5 ml)",mezoterapie-neauvia-organic-hydrodeluxe-2-5-ml,"6 000,-",,Mezoterapie,mezoterapie,1,Ne
Mezoterapie vlasové pokožky vybranými mezoterapeutickými roztoky,mezoterapie-mezoterapie-vlasove-pokozky-vybranymi-mezoterape,"od 1 800,-",,Mezoterapie,mezoterapie,2,Ne
