Služba,Oblast,Řeší (štítky),Garant (návrh),Provádí (návrh),Délka,Anestezie,Rekonvalescence,Výsledek,SPRÁVNĚ? (ano/ne),POZNÁMKA KLINIKY
Botulotoxin,Estetická medicína,"vrásky, nadměrné pocení","MUDr. Lucie Rajská, Ph.D.","MUDr. Lucie Rajská, Ph.D.; MUDr. Vladěna Charvátová",15–30 minut,Chladicí gel / znecitlivující krém,Ihned do běžného režimu,"Nástup 3–7 dní, výdrž 3–6 měsíců",,
Výplně kyselinou hyaluronovou,Estetická medicína,"ztráta objemu, rty, tekutý lifting",MUDr. Vladěna Charvátová,"MUDr. Lucie Rajská, Ph.D.; MUDr. Vladěna Charvátová",30–45 minut,Znecitlivující krém,1–2 dny (drobné otoky),"Okamžitě, výdrž 9–18 měsíců",,
Niťový lifting,Estetická medicína,"povadlá pleť, kontury obličeje",MUDr. Vladěna Charvátová,MUDr. Vladěna Charvátová,45–60 minut,Lokální,3–7 dní,"Ihned + zlepšování 2–3 měsíce, výdrž 1–2 roky",,
Bioremodelace a biorevitalizace,Estetická medicína,"unavená pleť, hydratace, jas","MUDr. Lucie Rajská, Ph.D.","MUDr. Lucie Rajská, Ph.D.; MUDr. Vladěna Charvátová",20–30 minut,Bez anestezie / krém,Do 24 hodin,"Po 2. ošetření, výdrž 6–9 měsíců",,
Mezoterapie a mikrojehličkování,Estetická medicína,"jizvičky po akné, póry, strie",MUDr. Zuzana Ťulpová,,30–60 minut,Znecitlivující krém,1–3 dny (zarudnutí),"Postupně, kúra 3 ošetření",,
Chemický peeling,Estetická medicína,"pigmentace, nerovnoměrný tón pleti, akné, růžovka",MUDr. Zuzana Ťulpová,MUDr. Vladěna Charvátová; MUDr. Zuzana Ťulpová,30–45 minut,Není potřeba,1–5 dní (jemné olupování),"Postupně, kúra 3 ošetření",,
Preventivní dermatologie,Dermatologie,"kontrola znamének, kožní útvary, prevence",MUDr. Barbora Grillová,"MUDr. Lucie Rajská, Ph.D.; MUDr. Barbora Grillová; MUDr. Kryštof Kudláček; MUDr. Natália Havlíček; MUDr. Zuzana Ťulpová",30 minut,Není potřeba (u odstranění lokální),Ihned do běžného režimu,Výsledek vyšetření na místě,,
Všeobecná dermatologie,Dermatologie,"ekzémy, akné, vypadávání vlasů, infekce kůže",MUDr. Kryštof Kudláček,MUDr. Barbora Grillová; MUDr. Kryštof Kudláček; MUDr. Zuzana Ťulpová; MUDr. Marie Efanová,30 minut,Není potřeba,—,Léčebný plán na míru,,
Dětská dermatologie,Dermatologie,"atopický ekzém, bradavice, dětská znaménka",MUDr. Natália Havlíček,MUDr. Natália Havlíček; MUDr. Marie Efanová,30 minut,Není potřeba,—,Úleva a jasný plán péče,,
Laserové ošetření CO2,Dermatologie,"jizvy, pigmentace, vrásky",MUDr. Kryštof Kudláček,"MUDr. Lucie Rajská, Ph.D.; MUDr. Barbora Grillová; MUDr. Kryštof Kudláček; MUDr. Zuzana Ťulpová",20–45 minut,Znecitlivující krém,3–7 dní,"Po zhojení, plný efekt do 3 měsíců",,
Epilace,Dermatologie,"nežádoucí ochlupení, zarůstající chloupky",MUDr. Marie Efanová,MUDr. Barbora Grillová; MUDr. Kryštof Kudláček; MUDr. Natália Havlíček; MUDr. Marie Efanová,15–60 minut dle oblasti,Není potřeba,Ihned do běžného režimu,"Kúra 6 ošetření, dlouhodobý efekt",,
Plastická chirurgie,Plastická chirurgie,"oční víčka, převislá kůže",MUDr. Barbora Formánková,MUDr. Barbora Formánková,Dle zákroku (⚠ upřesní odborník),Lokální / analgosedace,1–2 týdny dle zákroku,Trvalý,,
